,SN20A,SN20B,SN21A,SN21B,SN22A,SN22B,SN23A,SN23B,SN24A,SN24B,SN25A,SN25B
NewGene_17419,0,0,0,4,0,0,3,0,0,0,3,5
NewGene_2821,15,36,28,24,23,31,25,25,13,40,29,27
NewGene_17411,0,0,0,0,0,0,0,2,0,0,0,0
TMEM249,11,3,18,35,14,11,38,10,31,26,16,17
NewGene_17414,0,5,15,10,3,6,13,7,21,18,57,29
NewGene_17415,0,0,0,2,0,0,0,0,0,0,0,2
DNAAF11,1385,1101,434,413,397,389,464,262,568,431,976,783
DNAAF10,611,440,317,407,310,292,416,287,405,302,560,529
SIPA1L2,16190,13455,7981,8447,7244,7532,8377,6944,6791,7967,8438,7808
SIPA1L3,1206,967,1310,795,1273,1331,1218,1119,1032,1089,1167,979
NDE1,403,311,140,385,103,151,215,114,157,141,187,189
SIPA1L1,3612,2767,2091,2384,1708,1578,2071,1545,2227,1749,2388,1779
NewGene_319,10,18,16,17,10,24,24,13,33,21,26,16
NewGene_318,0,0,0,0,2,0,2,3,0,3,7,2
OR10J1,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_316,675,639,609,866,568,626,915,496,757,891,1086,788
METTL22,431,408,494,484,359,411,527,371,402,525,546,477
NewGene_314,25,9,77,46,53,102,67,80,68,73,67,44
NewGene_313,0,2,0,0,0,0,0,0,0,0,0,0
METTL25,164,166,112,128,79,112,114,68,135,111,219,202
FPGT,535,592,482,464,450,396,563,403,494,433,492,456
METTL27,126,81,37,44,40,60,62,37,46,37,56,56
LOC124900217,113,155,181,281,129,198,90,137,146,242,114,137
LOC124900214,10,4,15,12,18,11,23,10,18,18,10,19
NewGene_18992,0,0,9,0,0,4,3,3,0,3,5,0
NewGene_18993,3,0,0,1,6,8,3,7,7,9,11,5
NewGene_18996,261,227,477,329,501,643,368,524,467,602,492,441
NewGene_18997,2,0,0,0,0,0,0,0,0,0,0,0
NewGene_18994,3,3,4,0,4,4,4,5,0,2,9,2
NewGene_18998,2,0,0,0,0,0,0,0,0,2,0,0
NewGene_18999,2,0,0,0,0,0,0,0,0,0,2,0
NewGene_19029,0,0,0,0,0,2,2,3,0,5,2,0
NewGene_1300,0,0,0,2,3,3,4,3,0,0,3,0
NewGene_1301,5,5,9,28,6,8,30,2,0,0,0,0
NewGene_19023,3,3,3,1,2,0,1,0,0,0,0,2
NewGene_19022,0,0,0,2,2,4,2,4,3,8,3,2
NewGene_19025,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19027,0,0,3,0,0,0,0,2,0,0,0,0
NewGene_958,8,0,11,0,9,0,17,0,5,7,12,12
NewGene_1305,0,5,0,0,0,0,0,0,0,0,0,0
NewGene_1306,0,5,0,0,0,0,0,0,0,0,0,0
DLG3,1848,1576,2219,2263,2223,2360,2574,1989,1987,2091,2118,1937
SV2C,2683,2512,8124,3093,7408,7511,5903,7105,3830,4106,3731,3643
C6orf58,4,0,0,4,7,16,4,2,4,0,7,12
C6orf52,29,9,46,4,10,33,27,23,13,14,17,4
EEF1B2,3165,5207,1980,2793,2292,3561,3545,2947,2559,1834,3300,3154
AMER3,230,182,782,573,1007,1162,808,1010,812,854,963,773
AMER2,934,850,3186,2573,4232,5314,3272,4343,2113,2725,2209,2392
AMER1,440,399,971,778,912,995,946,907,750,952,909,786
HMGN1,4675,5073,5763,10615,4894,5751,8464,4581,6152,6735,6656,7086
HMGN2,2594,3105,2669,9947,2643,2991,4416,2370,3525,3030,4274,5064
HMGN3,3768,2991,1965,1825,1571,1102,1949,1052,2216,1601,3592,3016
HMGN5,242,280,223,146,137,113,155,133,173,147,377,277
TTBK1,812,704,2468,1541,2390,3001,2254,2379,1642,2058,1475,1412
TTBK2,1762,1676,3058,2600,3756,3843,3377,3379,2829,2824,2994,2735
BGLAP,2,1,0,0,0,0,0,0,3,1,3,1
STOML2,2579,2038,1847,2089,1600,1867,1800,1618,1693,1485,2385,1898
STOML3,407,310,35,34,70,10,24,12,73,11,369,467
STOML1,575,455,1042,670,1156,1346,1034,1020,909,1132,901,788
LRSAM1,1043,887,1511,1155,1550,1716,1537,1396,1185,1415,1349,1100
CASP8AP2,133,323,354,481,295,339,449,301,375,401,368,428
PRTN3,5,1,14,0,0,8,7,5,2,12,10,7
WRAP53,488,425,383,586,249,211,497,266,356,264,546,353
KHDC1,213,183,240,260,235,244,228,209,242,234,230,195
KHDC4,1480,1346,1444,1654,1235,1314,1622,1083,1382,1426,1909,1534
TOPAZ1,0,0,0,0,0,0,0,0,6,0,0,2
GOLGA8O,54,63,78,55,72,100,92,46,85,107,69,39
CD207,0,0,0,0,0,0,4,0,0,0,0,0
YBX1,19738,19028,32580,31766,27401,32550,30945,27327,25284,25887,27967,26010
YBX2,37,39,241,132,114,132,254,98,125,200,58,70
YBX3,6321,5821,1602,2033,1739,1617,1655,1552,1847,1977,2841,2630
PRSS8,164,106,105,34,87,98,57,89,76,55,67,65
CD200,1167,1230,3808,2937,4158,4743,4383,4113,3701,3943,5150,4609
PRSS2,0,0,0,0,0,0,0,0,0,0,0,0
PRSS3,2,0,0,8,0,0,0,4,0,0,7,8
CD209,0,0,0,0,0,0,0,0,0,0,0,0
PRSS1,0,0,0,0,0,0,0,0,0,0,0,0
TIRAP,175,140,183,173,167,200,182,168,180,194,225,203
SRP54,2970,2881,2733,2350,2892,2762,2767,2890,2554,2234,2879,2564
NewGene_17898,3,0,0,0,2,0,0,4,2,0,0,2
DYM,3706,3115,3849,3413,4684,4724,4060,4022,3530,3532,4260,4126
ARHGDIA,6467,5709,6494,4580,6184,6860,5506,6383,4782,5006,5725,4830
FAM199X,4501,4702,6986,5120,8269,8018,7070,7188,5917,5543,7324,7009
ARHGDIB,67,45,106,18,75,89,82,105,52,28,45,36
LTV1,834,791,714,871,527,687,725,565,657,601,979,801
TNFRSF11B,588,501,816,637,357,425,842,359,877,561,570,587
TNFRSF11A,192,217,249,174,304,250,226,233,222,187,337,355
NewGene_14338,0,0,0,0,0,3,0,0,0,0,4,0
NewGene_14339,0,0,0,0,0,0,15,0,0,8,4,0
NewGene_14333,201,174,413,476,387,380,667,344,437,580,358,347
NewGene_14330,3,0,0,5,0,2,7,0,0,3,6,4
NewGene_14336,2,0,0,0,0,0,0,0,0,0,0,0
NewGene_14337,0,18,0,0,0,5,0,0,0,0,0,3
NewGene_14334,45,53,148,135,217,195,199,181,203,221,159,130
NewGene_14335,124,118,115,89,121,138,182,134,97,98,141,169
OR2I1P,87,76,6,0,9,0,8,0,28,8,62,46
INO80D,301,345,373,476,502,444,567,280,389,428,523,467
LOC102724200,687,662,910,686,855,959,973,830,632,821,743,811
STAC3,41,34,69,58,41,43,67,26,43,71,49,29
STAC2,517,382,293,254,265,250,265,220,410,502,132,125
UTP4,991,838,972,804,1011,831,995,845,651,715,1197,954
FOSL2,7981,7961,3197,2438,3402,3058,2574,2829,2691,3085,3320,2850
FOSL1,155,129,79,39,52,71,44,55,40,74,26,51
MLLT6,1345,1340,1250,1636,1104,1216,1748,917,1437,1867,1714,1469
RGS9BP,256,98,62,19,56,38,54,29,71,45,136,106
GDAP1,1326,1404,3723,3208,4062,4973,4035,4385,2837,3282,3573,3758
GDAP2,729,718,639,690,614,597,727,555,561,574,857,857
PLXNB3,306,228,401,391,226,241,594,245,312,387,202,195
PLXNB2,20289,17824,8846,7151,8181,6974,8750,6973,9451,9759,11789,9403
PLXNB1,9959,8643,4204,5341,4060,4008,4803,3371,5871,6711,7895,6435
GCFC2,712,682,566,809,558,562,786,505,643,572,866,772
SS18,2789,2922,1975,2711,1747,1736,2418,1778,2246,1999,2714,2415
GH2,0,0,0,0,0,0,0,0,0,0,0,0
GH1,0,0,0,0,0,0,0,0,0,0,0,0
NTM,1070,1522,4593,2228,4751,6657,4664,5078,3786,4534,3748,4173
NTS,38,43,416,143,767,740,472,890,46,48,67,74
MYH15,85,118,467,82,389,515,190,379,80,108,95,86
MYH14,3041,2421,1671,768,1914,1873,1294,1485,1388,1422,2053,1897
MYH13,0,0,0,0,0,0,4,0,0,0,2,0
GHR,1650,1398,839,376,875,454,575,434,840,483,1306,918
MYH11,15,9,14,12,27,13,19,4,21,11,46,19
MYH10,13578,12089,10210,8563,10431,9979,10137,9237,10760,8553,12651,10417
NewGene_14804,6,2,3,2,0,2,8,4,2,2,0,10
NewGene_14805,0,0,0,0,0,0,0,2,0,0,0,0
TOPBP1,1007,952,1681,2041,1465,1541,2192,1458,1487,1311,1810,1809
NewGene_14800,11,5,30,14,17,32,31,21,13,12,18,33
NewGene_14802,0,0,0,0,0,2,0,0,0,0,0,0
NewGene_14803,0,0,3,6,3,1,3,6,4,0,0,5
NewGene_14808,0,0,5,0,3,0,6,2,0,0,0,0
NewGene_14809,10,4,93,10,46,45,28,33,36,39,25,43
TAF11L13,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L12,0,0,0,0,0,0,0,0,0,0,0,0
TAF11L11,2,0,2,0,0,0,0,4,2,0,0,0
TAF11L10,0,0,0,0,0,0,0,0,0,0,0,0
PCDHAC2,155,140,25,301,67,3258,899,0,471,558,1219,422
TAF11L14,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP2-3,1,0,0,0,1,0,0,1,0,0,1,1
NewGene_16402,0,0,3,0,0,0,1,5,0,0,3,3
NewGene_16403,2,0,4,2,7,8,10,7,0,12,12,11
NewGene_16400,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_16401,3,0,13,2,3,7,1,11,3,3,3,0
NewGene_16406,11,15,17,11,12,28,21,25,18,36,11,13
NewGene_16407,3,2,2,2,4,5,2,2,1,3,2,1
NewGene_16404,7,3,10,12,6,7,5,3,1,6,4,6
NewGene_16405,1,0,1,0,0,4,3,0,1,0,0,0
SAMD1,785,709,1289,1300,823,853,936,803,859,802,1084,961
NewGene_16408,57,35,53,13,128,113,70,88,75,126,38,58
NewGene_16409,47,31,62,26,112,139,65,121,84,80,51,47
GRHL1,53,26,123,105,123,148,122,110,114,155,98,105
FNIP1,1215,1055,1124,904,1274,1277,1310,1052,978,1041,1589,1388
CEP20,337,324,253,489,267,279,354,284,262,240,303,305
NAIP,12,2,8,17,17,14,21,9,10,11,13,35
GRAPL,8,0,0,2,9,7,5,0,4,8,5,7
KATNAL2,467,383,328,340,293,327,342,298,332,345,575,429
GRAP2,0,0,0,0,5,0,4,0,4,0,0,0
NewGene_3522,0,0,28,9,9,11,15,13,18,26,2,9
NewGene_3523,0,0,0,2,4,3,0,5,0,3,0,2
NewGene_3521,0,0,0,0,0,0,2,4,2,0,0,2
NewGene_3526,2,5,0,0,2,0,0,3,2,0,5,0
NewGene_5658,0,2,4,0,4,20,5,9,5,9,0,0
NewGene_3529,0,3,4,2,0,6,0,0,2,0,0,0
NewGene_7232,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_7233,58,48,20,18,19,14,17,13,22,23,35,22
NewGene_7236,2,0,0,0,0,0,0,0,0,0,0,0
NewGene_7237,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_7234,12,14,3,0,8,2,4,0,6,2,4,4
NewGene_7235,147,149,132,84,132,177,153,168,137,179,203,258
PRRT1,0,0,1,1,0,0,0,0,1,0,0,0
TMEM50A,5262,4459,3834,3771,3792,3788,4070,3428,3626,3278,4408,3809
TMEM50B,1720,1702,1291,1996,1384,1409,1306,1362,1361,1281,1468,1541
GFM1,2660,2514,2598,2243,2757,2883,2851,2728,2426,2344,3167,2843
NFX1,1688,1650,1664,1584,1537,1634,1824,1599,1594,1666,2133,1982
NGFR,284,201,2992,1796,3314,3605,2808,3487,1127,1361,463,602
ARR3,13,17,5,4,5,2,7,4,8,6,7,4
SSBP4,3891,3192,2954,2950,2662,2863,3164,2275,2944,3136,3510,3317
CDHR5,6,3,8,1,12,6,6,5,9,11,24,12
CDHR4,657,514,24,33,46,17,40,10,95,62,205,206
CDHR3,458,350,619,495,609,608,384,397,422,467,413,496
CDHR2,62,52,151,108,200,162,195,185,142,178,161,176
CDHR1,181,159,963,281,1144,1285,912,1175,412,492,739,496
NewGene_17754,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17757,0,0,6,4,0,0,4,0,0,0,2,2
DEFB108B,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17752,71,76,83,68,58,48,90,88,64,94,91,69
PRAG1,471,458,435,423,380,397,326,636,337,324,269,301
AAMP,2496,2295,2246,2087,2103,2277,2269,1939,2027,1994,2749,2225
KLF10,1070,1308,876,1137,987,1214,1083,984,878,855,1141,1123
LOC124905630,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377805,1,5,2,4,5,22,10,4,5,6,3,4
PROS1,5569,4553,2847,1863,2734,2336,2984,2432,3775,2621,5269,4541
ZNF773,322,260,279,320,260,291,300,273,240,305,286,273
ZNF772,514,553,643,1078,610,613,802,586,739,724,783,868
ZNF771,386,360,513,337,461,521,413,378,400,452,384,298
ZNF770,1975,2033,2551,3373,2794,2764,3336,2567,2735,2513,4408,4144
ZNF777,705,625,739,869,698,884,885,660,713,677,1131,864
ZNF776,955,981,1116,1229,1206,1259,1384,1310,1178,1223,1396,1191
ZNF775,398,294,412,599,408,501,547,320,414,485,489,436
ZNF774,124,105,215,170,191,256,213,172,155,208,199,179
TMTC1,10723,8060,2879,1553,3810,2927,3375,3002,5112,4162,3463,2747
TMTC2,1045,847,1239,3219,881,894,2530,890,1884,1432,1018,1060
TMTC3,1746,1900,1249,1310,1336,1097,1502,1262,1342,1198,1538,1458
TMTC4,1073,1100,2769,2853,2559,3186,3952,2559,2805,2777,2431,2634
LOC124901872,0,0,2,0,0,0,0,0,0,0,0,0
UQCRC2,2688,2246,2806,2698,2868,3580,3050,2752,2643,2442,2978,2757
LASP1,11114,9373,9210,7366,8904,8454,8734,7539,8250,7287,10728,8392
NewGene_1968,5,0,0,0,0,1,0,0,0,0,0,0
NewGene_1969,2,0,9,2,0,5,0,2,0,0,0,2
OR2A12,0,0,0,1,0,2,0,0,0,0,0,0
ILDR1,3,0,0,0,0,0,2,0,0,0,0,0
NewGene_1961,144,140,460,478,437,446,572,407,458,517,434,352
CLPTM1L,2003,1550,1055,1273,1247,1109,1127,1076,1268,1059,809,1015
PLPPR2,2651,2208,4914,3029,5265,5725,4537,4784,3658,4013,4042,3428
PLPPR5,166,159,877,733,1271,1326,1068,1154,796,953,783,643
PLPPR4,349,253,1541,390,1691,1869,1100,1593,1366,1513,1494,1281
NewGene_1966,9,4,34,17,23,29,21,19,12,17,5,5
NewGene_13122,4,4,8,0,2,2,2,0,0,0,4,3
NewGene_13123,0,0,0,0,4,11,8,6,0,0,0,0
NewGene_13120,0,3,59,4,93,194,40,79,6,23,2,5
NewGene_13121,0,2,2,0,8,16,4,8,0,3,0,0
ITPR1,1176,778,521,309,393,425,557,409,654,517,768,595
NewGene_13127,0,0,0,0,0,0,0,0,0,0,0,0
ITPR3,720,754,764,523,1028,1426,731,943,737,1440,482,457
ITPR2,673,1199,446,273,322,445,458,511,587,514,732,799
NewGene_13128,9,29,28,3,22,20,15,13,13,10,7,13
NewGene_13129,0,4,7,4,3,4,3,0,4,0,0,0
HEMGN,0,3,0,0,0,0,3,0,0,0,3,0
SLC1A1,675,509,1009,645,929,1203,1005,1080,951,882,892,798
SLC1A3,3274,2458,2764,10428,378,413,10206,444,7544,3011,1897,1877
SLC1A2,972,954,3913,4123,4250,4896,5109,3964,3762,3923,3658,4372
SLC1A5,3280,3136,2113,4082,2726,3707,1716,2430,1939,2313,1797,1729
SLC1A4,1181,1311,3636,5578,4572,5751,3655,4161,3324,3380,4198,3913
SLC1A7,715,264,20,9,32,28,22,14,113,34,17,11
SLC1A6,160,184,759,556,818,967,748,811,711,782,835,753
NewGene_1809,1177,1138,160,132,280,220,249,202,399,470,283,242
CIBAR2,471,296,47,37,73,21,21,19,76,31,133,159
CIBAR1,950,919,843,664,822,910,824,797,731,749,1024,909
MALT1,5984,7392,3198,3274,2803,3630,3662,3563,2950,3967,3492,3432
NewGene_19506,44,37,8,12,3,3,23,6,13,9,18,12
NewGene_324,203,96,194,86,328,314,288,170,296,405,179,108
NewGene_19507,107,51,30,50,21,17,29,13,33,20,22,33
NewGene_19504,17,13,2,5,0,3,12,5,5,1,9,4
ELMOD3,450,394,454,666,380,502,542,326,568,634,678,559
C5orf63,0,0,2,0,0,0,2,5,2,3,2,2
NewGene_323,0,3,0,0,0,0,0,0,0,0,0,0
C17orf98,0,0,0,0,0,0,0,0,0,0,0,0
C17orf99,0,2,0,0,0,0,0,0,0,0,0,0
AQP9,0,0,3,0,4,11,5,12,0,4,0,0
AQP8,2,5,5,0,5,0,2,3,4,10,9,2
AQP3,141,109,116,63,110,126,94,97,100,100,172,119
POM121C,2127,2167,2448,2402,2203,2312,2950,2060,2380,2277,3180,2520
AQP1,1439,826,1941,611,932,709,5868,715,5067,2485,1164,1302
AQP7,60,28,12,0,0,0,5,4,18,11,33,18
AQP6,5,12,29,38,19,16,25,27,22,29,24,15
AQP5,44,37,93,40,71,114,59,82,92,66,101,65
AQP4,12,17,39,19,34,13,44,10,32,17,53,55
NewGene_14479,0,0,0,0,0,0,0,0,0,0,0,4
NewGene_14478,37,24,37,55,52,54,42,17,24,53,46,21
SHANK3,853,645,858,599,943,968,868,667,649,718,944,807
NewGene_14475,475,461,539,443,384,486,535,362,565,640,752,539
NewGene_14477,9,0,3,5,4,6,3,6,3,6,7,2
NewGene_14476,18,15,9,15,15,20,19,4,16,19,16,12
NewGene_14473,0,2,0,5,3,5,10,8,5,4,4,4
NewGene_14472,2,2,11,22,6,10,24,4,8,9,6,3
SLC2A2,2,0,0,3,4,2,2,2,0,0,0,4
SLC2A3,3834,5353,7539,4427,6176,6586,7254,6129,4240,4233,7560,7385
SLC2A1,9057,8026,5207,6316,3771,3896,23767,3282,8598,7448,12928,9991
SLC2A6,286,268,494,251,433,643,400,417,333,350,283,161
SLC2A7,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A4,233,129,67,47,67,29,93,36,101,76,116,138
SLC2A5,902,349,231,89,198,65,154,43,304,111,352,192
EPB41L4B,1979,1381,2246,1010,2028,2212,1541,1492,1764,1705,2478,2039
EPB41L4A,2230,1807,2334,2319,2902,3008,2782,2135,2385,2259,2869,2521
SLC2A9,8,10,12,2,18,14,9,24,13,16,4,6
NewGene_17680,0,0,0,0,0,0,0,2,0,0,0,0
OR6A2,0,3,0,0,0,0,0,0,0,0,0,2
IFNAR2,646,627,754,900,662,833,1053,770,863,891,628,698
IFNAR1,2517,2496,2866,2260,2714,2960,3074,2626,2747,2392,3250,2795
LRTOMT,70,19,22,27,31,49,48,18,61,32,52,34
MISP3,111,89,97,7,151,152,0,104,98,127,102,88
CDKN2D,771,689,3348,1552,3022,3869,2599,3254,2111,2430,1941,1724
CDKN2C,5,3,7,34,6,17,20,8,13,6,5,0
CDKN2B,15217,17078,4040,3955,3309,3343,2971,4226,3867,4374,5294,4320
CDKN2A,203,185,81,54,31,60,38,47,40,36,35,28
NewGene_8952,0,0,0,0,0,0,0,2,0,0,0,0
NewGene_8953,15,29,42,41,21,41,43,40,41,32,48,39
NewGene_8950,14,11,7,2,0,5,5,8,0,2,8,3
NewGene_8951,109,126,135,122,188,197,165,167,124,154,142,155
NewGene_8956,2,0,2,0,0,0,0,0,3,0,0,0
CENPVL1,30,40,134,37,25,78,44,76,80,94,108,87
CENPVL2,58,60,50,48,136,117,132,88,106,123,146,106
CENPVL3,229,269,194,188,237,260,187,171,247,229,295,293
NewGene_8959,20,24,94,65,54,77,74,48,56,59,46,82
PRSS48,0,0,0,0,0,1,0,0,0,0,0,0
NewGene_4259,1,0,1,0,0,0,1,0,0,0,0,1
AVPR2,0,0,3,0,0,0,3,0,3,2,2,2
FBXL7,2995,1983,1183,1212,923,771,1008,782,1280,877,1713,1045
NewGene_4255,3,2,6,3,6,2,10,2,8,10,4,3
AXIN1,1380,1146,1307,1239,1018,1135,1264,860,1140,1021,1767,1406
AXIN2,2940,2798,1908,4116,1163,958,2955,1123,2153,1803,3144,2899
NewGene_4256,5,0,0,0,0,0,0,0,0,0,0,0
NewGene_4251,7,3,5,2,6,10,8,6,5,2,6,5
NewGene_4250,63,31,50,70,64,81,74,36,58,75,56,76
NewGene_4253,1166,1085,789,567,728,751,911,683,819,703,820,700
NewGene_4252,0,0,0,0,1,0,0,0,0,0,0,2
INS-IGF2,0,0,0,0,2,0,0,0,0,0,0,0
LIPM,0,0,2,0,0,0,4,0,2,0,3,3
LIPN,0,0,0,0,0,0,0,0,0,0,0,0
LIPH,166,135,45,8,43,105,43,117,42,104,23,20
LIPI,0,0,0,3,0,0,3,2,0,0,0,0
LIPJ,45,49,48,60,49,72,103,59,78,60,73,54
LIPK,0,0,0,0,0,0,0,0,0,0,0,0
LIPE,248,196,281,284,287,251,291,254,231,267,319,232
LIPF,0,2,0,0,0,0,0,0,0,0,2,0
LIPG,547,776,297,638,289,392,324,385,195,259,522,469
LIPA,11480,8891,4191,3040,3537,2252,3704,2471,4825,3151,5652,5013
TRAPPC3L,15,26,98,74,80,51,102,40,100,69,342,199
CAMLG,1889,1693,2071,2390,2374,2506,2606,2127,2008,1966,2644,2382
SPATA46,18,16,24,24,32,48,31,17,26,44,36,40
SPATA45,2,7,6,11,3,0,0,5,5,8,10,5
CEMP1,0,0,0,0,0,0,0,3,0,0,0,0
SPATA48,0,0,8,0,3,3,0,0,0,2,0,0
EGR4,0,4,32,7,14,12,13,11,14,10,27,18
EGR3,26,33,38,19,42,69,24,52,36,58,47,43
EGR2,67,102,37,21,30,70,18,93,17,39,19,33
EGR1,1956,2325,1089,459,1587,1746,573,903,606,865,696,624
SIMC1,1119,923,1187,960,1213,1302,1219,1145,1067,1127,1396,1233
PDRG1,803,781,937,1021,826,1015,1123,884,870,971,1006,1031
CYP39A1,189,192,104,177,114,92,121,104,107,101,222,158
PIP,0,0,0,0,0,0,0,0,0,0,0,0
DCTD,2869,2445,1873,1807,1614,1842,1505,1543,1831,1689,2369,2043
WDR76,81,79,140,343,74,109,247,98,151,120,114,116
WDR77,1579,1520,1652,1429,1519,1692,1422,1451,1304,1208,1713,1512
WDR74,562,549,647,608,531,631,572,512,535,487,694,595
WDR75,1148,972,1061,1232,1031,1190,1257,1141,951,1130,1320,1247
WDR72,334,373,311,353,360,387,341,335,296,342,390,321
WDR73,1085,1038,795,914,831,746,888,819,765,819,1050,923
WDR70,706,669,820,1092,688,864,841,657,709,668,996,825
LCN8,0,0,0,0,0,0,0,0,0,0,0,1
LCN9,9,10,9,8,7,10,3,0,6,13,13,12
TAS2R50,1,1,1,0,1,3,0,1,0,3,0,0
GOLM2,9519,8976,6881,6078,7725,7451,7106,6905,7250,6671,9222,8279
LCN1,0,0,0,0,0,0,0,0,4,0,0,2
LCN2,67,125,0,4,4,0,0,8,36,43,24,44
DNTT,0,0,4,0,0,2,0,0,0,0,0,0
LCN6,0,0,0,0,0,0,0,2,0,0,0,0
RBMXL3,0,4,0,2,0,0,0,0,0,0,0,0
NewGene_4925,0,0,3,0,0,6,2,0,0,2,0,0
NewGene_4924,6,6,20,0,15,17,7,7,14,13,11,0
NewGene_4923,0,0,0,0,3,3,0,0,0,3,0,0
NewGene_4920,61,40,31,12,24,29,15,29,7,29,22,15
DEF8,2410,2105,2488,2217,2280,2710,2512,2276,2358,2725,2366,2087
DEF6,36,34,21,25,18,27,22,29,41,22,45,26
MC5R,3,6,12,9,31,42,17,17,13,28,12,19
TAGLN2,13345,14303,7521,4564,7372,8948,5764,8661,5023,7147,4378,5176
KRT34,2,0,0,0,0,0,0,1,1,0,0,0
SCN10A,0,0,15,9,4,21,14,25,6,6,2,0
AARS2,933,751,867,787,624,744,971,679,711,705,868,825
AARS1,7214,6327,7490,7618,7505,7644,7564,7219,6933,6727,9618,8174
CFL2,2794,2780,2782,2428,3101,3012,2946,2945,2553,2173,3287,2899
CFL1,19947,16988,21821,18310,21639,25238,21898,21005,17194,17932,19129,17190
NewGene_843,41,29,44,59,46,58,71,41,54,53,58,54
NewGene_842,0,0,0,0,0,2,0,1,0,0,1,0
NewGene_840,973,783,370,340,346,320,367,252,362,298,598,458
NewGene_847,1,1,0,0,0,4,1,3,2,2,0,0
NewGene_846,0,0,0,2,0,0,0,0,0,0,0,1
NewGene_845,0,2,4,4,6,11,5,3,2,4,2,4
NewGene_844,10,15,24,60,18,34,27,17,24,29,10,24
NewGene_849,0,0,0,0,4,0,0,2,0,2,3,0
NewGene_848,68,9,78,62,77,89,71,93,72,87,60,45
POMZP3,75,70,47,86,97,90,119,56,98,134,123,92
PKDREJ,13,11,16,24,14,19,22,10,13,15,16,23
TNNT2,36,39,32,15,17,11,16,4,47,11,231,34
TNNT3,0,0,0,0,0,0,2,1,0,0,0,0
TNNT1,612,483,513,362,387,301,363,225,274,258,184,188
PI3,60,62,6,4,2,9,10,0,6,31,6,3
PKP2,635,667,272,290,287,225,291,229,340,230,539,433
PKP3,0,0,0,0,4,0,4,0,2,7,2,0
PKP1,0,0,6,0,0,2,0,5,5,3,2,6
PKP4,1920,1916,3097,2061,2327,2612,2516,2354,2055,1843,3166,2374
PIGP,378,355,498,315,537,524,382,399,410,332,450,405
TMEM208,1455,1185,719,666,615,674,635,532,699,596,721,737
KIAA0232,3221,2977,4414,4588,4574,4875,5110,4161,4376,4092,5048,4687
NewGene_6275,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_6277,15,18,17,3,9,2,4,0,10,4,30,25
NewGene_6271,14,10,26,11,41,54,53,47,56,96,13,30
NewGene_6273,5,2,4,0,0,9,0,2,0,0,2,0
NewGene_6279,1,6,4,8,5,7,6,4,6,5,8,10
NewGene_6278,574,603,614,311,648,728,506,591,637,828,667,681
MUC20,52,57,59,45,52,32,25,20,32,52,36,30
AEN,2071,1958,1049,1283,952,1115,1065,919,1093,1082,1324,1115
PIGK,1298,1306,1385,1211,1467,1549,1435,1510,1240,1045,1669,1549
NewGene_13562,14,6,48,12,59,37,43,68,30,43,16,23
CCDC71L,795,909,1034,1426,867,988,1179,851,1231,1145,1399,1301
NewGene_2653,0,2,0,0,0,0,0,0,0,0,0,0
FUT6,0,0,2,0,2,2,2,0,4,0,9,1
TOR3A,802,661,518,512,549,652,494,486,542,482,787,689
NewGene_9146,235,248,339,277,327,316,346,346,347,275,374,307
NewGene_9144,3,6,3,0,0,3,3,3,5,3,6,3
NewGene_9143,2,0,17,8,12,27,9,24,13,17,9,19
NewGene_9140,2,0,2,0,0,0,0,0,0,0,0,3
NewGene_9141,27,33,15,9,22,76,14,61,27,79,27,39
AKNA,1283,1097,597,1132,703,825,525,545,761,832,1566,1322
MAGEA2B,0,0,0,0,0,2,1,2,0,4,1,0
NewGene_9148,0,0,0,0,0,0,0,0,0,0,2,4
NewGene_9149,0,0,0,0,0,6,0,0,0,0,0,0
GNG4,79,91,442,2696,1844,3850,387,463,281,4608,2963,2857
VWA2,9,21,34,16,28,40,19,34,23,37,33,17
VWA1,1357,1497,1471,827,1238,2028,1562,2030,1688,2051,1084,1265
ARVCF,2271,1692,2642,3058,2570,2813,2948,2121,2503,2782,2681,2300
HAP1,173,136,723,454,569,682,532,554,250,398,393,245
VWA8,995,843,792,836,857,892,924,783,781,789,858,833
PAPOLA,9001,8204,6890,9057,7295,6732,8288,6248,6828,6470,9196,8313
LOC124903972,0,0,1,0,0,0,0,0,0,0,0,1
NewGene_11731,8,9,7,6,6,7,3,2,5,8,7,5
PAPOLB,0,2,2,0,0,0,0,0,0,2,0,0
BMF,5092,4699,1446,2798,1503,1226,1683,1291,2179,2313,2655,2227
KCNA1,91,65,1033,204,1174,1245,788,1396,344,274,185,134
OR11A1,0,0,0,0,0,0,0,0,0,0,0,0
KCNA3,31,40,118,172,88,102,124,74,76,75,139,93
